sample_id	sex	title	empo_1	empo_2	empo_3	host_age	latitude	taxon_id	age_units	elevation	env_biome	longitude	antibiotic	cfu_counts	host_taxid	description	env_feature	env_package	sample_type	env_material	geo_loc_name	dna_extracted	host_body_site	anonymized_name	host_life_stage	host_subject_id	scientific_name	host_common_name	day_of_experiment	host_body_habitat	host_body_product	average_cfu_counts	date_of_experiment	host_subject_id_02	phase_of_experiment	collection_timestamp	host_scientific_name	level_of_colonisation	route_abx_administration	timeline_sample_pcoa_time	physical_specimen_location	day_of_experiment_numerical	group_level_of_colonisation	physical_specimen_remaining	qiita_study_id
13132.DMG1905919		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	2.07E+11	10090	12_10 A2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	12_10 A2	adult	Mouse_A2	mouse gut metagenome	mouse	p4	UBERON:feces	UBERON:feces	2.11E+11	10_12	Mouse_A	colonised		Mus musculus	high	SC	11	MDUPHL_DAMG	11	high	FALSE	13132
13132.DMG1905920		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	2.01E+11	10090	12_10 A3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	12_10 A3	adult	Mouse_A3	mouse gut metagenome	mouse	p4	UBERON:feces	UBERON:feces	2.11E+11	10_12	Mouse_A	colonised		Mus musculus	high	SC	11	MDUPHL_DAMG	11	high	FALSE	13132
13132.DMG1905929		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	2.76E+12	10090	12_10 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	12_10 D1	adult	Mouse_D1	mouse gut metagenome	mouse	p4	UBERON:feces	UBERON:feces	1.30E+12	10_12	Mouse_D	colonised		Mus musculus	high	SC	11	MDUPHL_DAMG	11	high	FALSE	13132
13132.DMG1905930		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	59000000000	10090	12_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	12_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p4	UBERON:feces	UBERON:feces	1.30E+12	10_12	Mouse_D	colonised		Mus musculus	high	SC	11	MDUPHL_DAMG	11	high	FALSE	13132
13132.DMG1905931		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	1.10E+12	10090	12_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	12_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p4	UBERON:feces	UBERON:feces	1.30E+12	10_12	Mouse_D	colonised		Mus musculus	high	SC	11	MDUPHL_DAMG	11	high	FALSE	13132
13132.DMG1905932		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	8700000000	10090	12_10 E1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	12_10 E1	adult	Mouse_E1	mouse gut metagenome	mouse	p4	UBERON:feces	UBERON:feces	1.04E+11	10_12	Mouse_E	colonised		Mus musculus	high	OG	11	MDUPHL_DAMG	11	high	FALSE	13132
13132.DMG1906007		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	80500000000	10090	16_10 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	16_10 D1	adult	Mouse_D1	mouse gut metagenome	mouse	p8	UBERON:feces	UBERON:feces	1.34E+11	10_16	Mouse_D	colonised		Mus musculus	high	SC	15	MDUPHL_DAMG	15	high	FALSE	13132
13132.DMG1906008		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	2.63E+11	10090	16_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	16_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p8	UBERON:feces	UBERON:feces	1.34E+11	10_16	Mouse_D	colonised		Mus musculus	high	SC	15	MDUPHL_DAMG	15	high	FALSE	13132
13132.DMG1906009		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	58000000000	10090	16_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	16_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p8	UBERON:feces	UBERON:feces	1.34E+11	10_16	Mouse_D	colonised		Mus musculus	high	SC	15	MDUPHL_DAMG	15	high	FALSE	13132
13132.DMG1906027		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	2.70E+12	10090	17_10 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	17_10 D1	adult	Mouse_D1	mouse gut metagenome	mouse	p9	UBERON:feces	UBERON:feces	2.82E+12	10_17	Mouse_D	colonised		Mus musculus	high	SC	16	MDUPHL_DAMG	16	high	FALSE	13132
13132.DMG1906028		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	5.53E+11	10090	17_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	17_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p9	UBERON:feces	UBERON:feces	2.82E+12	10_17	Mouse_D	colonised		Mus musculus	high	SC	16	MDUPHL_DAMG	16	high	FALSE	13132
13132.DMG1906029		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	5.20E+12	10090	17_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	17_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p9	UBERON:feces	UBERON:feces	2.82E+12	10_17	Mouse_D	colonised		Mus musculus	high	SC	16	MDUPHL_DAMG	16	high	FALSE	13132
13132.DMG1906047		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	4.57E+12	10090	18_10 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	18_10 D1	adult	Mouse_D1	mouse gut metagenome	mouse	p10	UBERON:feces	UBERON:feces	1.54E+12	10_18	Mouse_D	colonised		Mus musculus	high	SC	17	MDUPHL_DAMG	17	high	FALSE	13132
13132.DMG1906048		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	32450000000	10090	18_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	18_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p10	UBERON:feces	UBERON:feces	1.54E+12	10_18	Mouse_D	colonised		Mus musculus	high	SC	17	MDUPHL_DAMG	17	high	FALSE	13132
13132.DMG1906049		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	27350000000	10090	18_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	18_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p10	UBERON:feces	UBERON:feces	1.54E+12	10_18	Mouse_D	colonised		Mus musculus	high	SC	17	MDUPHL_DAMG	17	high	FALSE	13132
13132.DMG1906067		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	1.69E+11	10090	19_10 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	19_10 D1	adult	Mouse_D1	mouse gut metagenome	mouse	p11	UBERON:feces	UBERON:feces	1.32E+11	10_19	Mouse_D	colonised		Mus musculus	high	SC	18	MDUPHL_DAMG	18	high	FALSE	13132
13132.DMG1906068		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	72500000000	10090	19_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	19_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p11	UBERON:feces	UBERON:feces	1.32E+11	10_19	Mouse_D	colonised		Mus musculus	high	SC	18	MDUPHL_DAMG	18	high	FALSE	13132
13132.DMG1906069		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	1.54E+11	10090	19_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	19_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p11	UBERON:feces	UBERON:feces	1.32E+11	10_19	Mouse_D	colonised		Mus musculus	high	SC	18	MDUPHL_DAMG	18	high	FALSE	13132
13132.DMG1906018		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	80500000	10090	17_10 A3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	17_10 A3	adult	Mouse_A3	mouse gut metagenome	mouse	p9	UBERON:feces	UBERON:feces	105044444.4	10_17	Mouse_A	colonised		Mus musculus	intermediate	SC	16	MDUPHL_DAMG	16	intermediate	FALSE	13132
13132.DMG1906001		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	45800	10090	16_10 B3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	16_10 B3	adult	Mouse_B3	mouse gut metagenome	mouse	p8	UBERON:feces	UBERON:feces	9680	10_16	Mouse_B	colonised		Mus musculus	intermediate	SC	15	MDUPHL_DAMG	15	intermediate	FALSE	13132
13132.DMG1906020		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	1400	10090	17_10 B2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	17_10 B2	adult	Mouse_B2	mouse gut metagenome	mouse	p9	UBERON:feces	UBERON:feces	700	10_17	Mouse_B	colonised		Mus musculus	intermediate	SC	16	MDUPHL_DAMG	16	low	FALSE	13132
13132.DMG1906079		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	198000	10090	20_10 A2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	20_10 A2	adult	Mouse_A2	mouse gut metagenome	mouse	p12	UBERON:feces	UBERON:feces	4444166.667	10_20	Mouse_A	colonised		Mus musculus	intermediate	SC	19	MDUPHL_DAMG	19	intermediate	FALSE	13132
13132.DMG1905872		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Doxycycline	0	10090	9_10 C3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	9_10 C3	adult	Mouse_C3	mouse gut metagenome	mouse	p1	UBERON:feces	UBERON:feces	0	10_09	Mouse_C	carrier		Mus musculus	undetectable	OG	8	MDUPHL_DAMG	8	undetectable	FALSE	13132
13132.DMG1905921		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	4600000	10090	12_10 B1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	12_10 B1	adult	Mouse_B1	mouse gut metagenome	mouse	p4	UBERON:feces	UBERON:feces	9577777.778	10_12	Mouse_B	colonised		Mus musculus	intermediate	SC	11	MDUPHL_DAMG	11	intermediate	FALSE	13132
13132.DMG1905907		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Doxycycline	0	10090	11_10 C2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	11_10 C2	adult	Mouse_C2	mouse gut metagenome	mouse	p3	UBERON:feces	UBERON:feces	0	10_11	Mouse_C	carrier		Mus musculus	undetectable	OG	10	MDUPHL_DAMG	10	undetectable	FALSE	13132
13132.DMG1906041		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	200	10090	18_10 B3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	18_10 B3	adult	Mouse_B3	mouse gut metagenome	mouse	p10	UBERON:feces	UBERON:feces	800	10_18	Mouse_B	colonised		Mus musculus	low	SC	17	MDUPHL_DAMG	17	low	FALSE	13132
13132.DMG1905995		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	15_10 F3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	15_10 F3	adult	Mouse_F3	mouse gut metagenome	mouse	p7	UBERON:feces	UBERON:feces	0	10_15	Mouse_F	control		Mus musculus	none	Not applicable	14	MDUPHL_DAMG	14	none	FALSE	13132
13132.DMG1906066		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Doxycycline	0	10090	19_10 C3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	19_10 C3	adult	Mouse_C3	mouse gut metagenome	mouse	p11	UBERON:feces	UBERON:feces	0	10_19	Mouse_C	carrier		Mus musculus	undetectable	OG	18	MDUPHL_DAMG	18	undetectable	FALSE	13132
13132.DMG1905868		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	4750000000	10090	9_10 B2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	9_10 B2	adult	Mouse_B2	mouse gut metagenome	mouse	p1	UBERON:feces	UBERON:feces	55038444444	10_09	Mouse_B	colonised		Mus musculus	high	SC	8	MDUPHL_DAMG	8	high	FALSE	13132
13132.DMG1905922		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	0	10090	12_10 B2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	12_10 B2	adult	Mouse_B2	mouse gut metagenome	mouse	p4	UBERON:feces	UBERON:feces	9577777.778	10_12	Mouse_B	colonised		Mus musculus	0	SC	11	MDUPHL_DAMG	11	intermediate	FALSE	13132
13132.DMG1906014		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	16_10 F2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	16_10 F2	adult	Mouse_F2	mouse gut metagenome	mouse	p8	UBERON:feces	UBERON:feces	0	10_16	Mouse_F	control		Mus musculus	none	Not applicable	15	MDUPHL_DAMG	15	none	FALSE	13132
13132.DMG1905897		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	10_10 F1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	10_10 F1	adult	Mouse_F1	mouse gut metagenome	mouse	p2	UBERON:feces	UBERON:feces	0	10_10	Mouse_F	control		Mus musculus	none	Not applicable	9	MDUPHL_DAMG	9	none	FALSE	13132
13132.DMG1905893		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	11150000000	10090	10_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	10_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p2	UBERON:feces	UBERON:feces	26894444444	10_10	Mouse_D	colonised		Mus musculus	high	SC	9	MDUPHL_DAMG	9	high	FALSE	13132
13132.DMG1906080		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	13100000	10090	20_10 A3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	20_10 A3	adult	Mouse_A3	mouse gut metagenome	mouse	p12	UBERON:feces	UBERON:feces	4444166.667	10_20	Mouse_A	colonised		Mus musculus	intermediate	SC	19	MDUPHL_DAMG	19	intermediate	FALSE	13132
13132.DMG1906061		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	0	10090	19_10 B3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	19_10 B3	adult	Mouse_B3	mouse gut metagenome	mouse	p11	UBERON:feces	UBERON:feces	0	10_19	Mouse_B	carrier		Mus musculus	undetectable	SC	18	MDUPHL_DAMG	18	undetectable	FALSE	13132
13132.DMG1905862		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	8_10 F2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	8_10 F2	adult	Mouse_F2	mouse gut metagenome	mouse	p0	UBERON:feces	UBERON:feces	0	10_08	Mouse_F	control		Mus musculus	0	Not applicable	7	MDUPHL_DAMG	7	0	FALSE	13132
13132.DMG1905861		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	8_10 F1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	8_10 F1	adult	Mouse_F1	mouse gut metagenome	mouse	p0	UBERON:feces	UBERON:feces	0	10_08	Mouse_F	control		Mus musculus	0	Not applicable	7	MDUPHL_DAMG	7	0	FALSE	13132
